id,gateway_id,pkt_date_and_time,pkt_rssi,pkt_snr,pkt_data,pkt_size,pkt_longitude,pkt_latitude
884,240AC4F01E025FF4,2018-02-06T15:27:04.738361Z,-44,6,"{""time"": ""2018-02-06T15:27:04.600034Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
885,240AC4F01E0286DC,2018-02-06T15:27:10.416052Z,-51,7,"{""time"": ""2018-02-06T15:27:10.278726Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
886,240AC4F01E023C54,2018-02-06T15:27:10.409285Z,-48,7,"{""time"": ""2018-02-06T15:27:10.278726Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
887,240AC4F01E025FF4,2018-02-06T15:27:10.411449Z,-53,6,"{""time"": ""2018-02-06T15:27:10.278726Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
888,240AC4F01E023C54,2018-02-06T15:27:11.695421Z,-44,7,"{""time"": ""2018-02-06T15:27:11.560103Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
889,240AC4F01E0286DC,2018-02-06T15:27:11.702134Z,-47,7,"{""time"": ""2018-02-06T15:27:11.560103Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
890,240AC4F01E023E3C,2018-02-06T15:27:01.701170Z,-43,6,"{""time"": ""2018-02-06T15:27:01.560150Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
891,240AC4F01E023E3C,2018-02-06T15:27:04.331215Z,-51,6,"{""time"": ""2018-02-06T15:27:04.194902Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
892,240AC4F01E023E3C,2018-02-06T15:27:04.743213Z,-53,6,"{""time"": ""2018-02-06T15:27:04.600034Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
893,240AC4F01E023E3C,2018-02-06T15:27:11.701405Z,-54,6,"{""time"": ""2018-02-06T15:27:11.560103Z"", ""gtiD"": ""240AC4F01E025FF4""}",67,4.58,0.55
894,240AC4F01E023E3C,2018-02-06T15:27:14.332237Z,-46,7,"{""time"": ""2018-02-06T15:27:14.195641Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
895,240AC4F01E025FF4,2018-02-06T15:27:14.328441Z,-45,7,"{""time"": ""2018-02-06T15:27:14.195641Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
896,240AC4F01E023C54,2018-02-06T15:27:14.326282Z,-37,7,"{""time"": ""2018-02-06T15:27:14.195641Z"", ""gtiD"": ""240AC4F01E0286DC""}",67,1.5,9.05
897,240AC4F01E023E3C,2018-02-06T15:27:14.743413Z,-47,6,"{""time"": ""2018-02-06T15:27:14.600059Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
898,240AC4F01E025FF4,2018-02-06T15:27:14.739392Z,-44,7,"{""time"": ""2018-02-06T15:27:14.600059Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
899,240AC4F01E0286DC,2018-02-06T15:27:14.744160Z,-39,6,"{""time"": ""2018-02-06T15:27:14.600059Z"", ""gtiD"": ""240AC4F01E023C54""}",67,4.58,9.05
900,240AC4F01E023C54,2018-02-06T15:27:20.409393Z,-43,6,"{""time"": ""2018-02-06T15:27:20.278766Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
901,240AC4F01E0286DC,2018-02-06T15:27:20.416113Z,-45,7,"{""time"": ""2018-02-06T15:27:20.278766Z"", ""gtiD"": ""240AC4F01E023E3C""}",67,0.33,0.66
